county,log_pop,log_ret,urban_pct,midwest,log_benton_dist,south,kmart,walmart,small_stores,num_kmart,num_walmart,opt_1,opt_2,opt_3
1169.0,2.5000415,7.923593,0.0,0.0,5.6803296,1.0,0.0,1.0,2.0,0.043737653,0.043737653,1.0,0.021786141,0.15433029
1170.0,2.5854305,7.554913,0.0,0.0,6.0203809,1.0,0.0,0.0,2.0,0.033282862,0.058686738,0.0,0.023701517,0.19738776
1171.0,2.8766672,7.953068,0.3562803,0.0,5.7611132,1.0,0.0,1.0,4.0,0.02156323,0.02156323,1.0,0.0,0.12433076
1175.0,3.3675717,8.570206,0.1704958,0.0,7.2285604,0.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.04968223
1176.0,3.9039303,8.725143,0.0489467,0.0,7.2921867,0.0,0.0,1.0,11.0,0.0,0.0,1.0,0.0,0.04169487
1178.0,3.6335517,8.777517,0.3808118,0.0,7.2640911,0.0,0.0,1.0,10.0,0.022299317,0.022299317,1.0,0.0,0.020197246
1179.0,3.4549909,8.6823,0.0,0.0,7.2469481,0.0,0.0,0.0,6.0,0.05999058,0.08428179,0.0,0.0,0.040778223
1180.0,3.9843809,8.219934,0.1747786,0.0,7.2104351,0.0,0.0,1.0,11.0,0.048684013,0.048684013,1.0,0.020768553,0.026787886
1182.0,2.9103922,8.317017,0.0,0.0,7.2790519,0.0,0.0,0.0,9.0,0.022722774,0.022722774,0.0,0.0,0.025341979
1183.0,3.5680386,8.078742,0.4114557,0.0,7.2350477,0.0,0.0,0.0,4.0,0.067509163,0.10830897,0.0,0.0,0.024455411
1184.0,3.958162,8.352672,0.2567206,0.0,7.2528325,0.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,0.022894345
1185.0,3.5860435,8.108783,0.091097,0.0,7.2662713,0.0,0.0,0.0,8.0,0.031212398,0.031212398,0.0,0.0,0.058157592
1186.0,3.5816283,8.414427,0.0771338,0.0,7.3209365,0.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.021497624
1191.0,4.2385026,8.197591,0.5422126,0.0,6.8915694,0.0,1.0,1.0,2.0,0.24286196,0.2208768,0.0,0.023686096,0.10201368
1192.0,3.3833389,8.304953,0.2165457,0.0,6.9304967,0.0,0.0,0.0,6.0,0.16938623,0.16938623,0.0,0.079493469,0.1007508
1196.0,3.3972228,8.692991,0.4091413,0.0,6.9154417,0.0,0.0,1.0,2.0,0.11969456,0.11969456,1.0,0.062848694,0.10384049
